attack,strength,bit_accuracy,mean_abs_z,min_abs_z
additive_noise,0.0,1.0,52.44545050007536,48.875078528040355
additive_noise,0.01,1.0,41.862678303210565,38.439821659765
additive_noise,0.02,1.0,30.227586173172458,28.339673280150464
additive_noise,0.03,1.0,22.362199617246016,20.71289195415185
additive_noise,0.05,1.0,14.04799110968944,12.806224687020949
additive_noise,0.08,1.0,9.166136112548909,8.083439617038138
additive_noise,0.12,1.0,6.095050655215073,5.039678215743511
additive_noise,0.18,1.0,4.39116723141744,2.585734128700867
row_drop,0.0,1.0,52.44545050007536,48.875078528040355
row_drop,0.1,1.0,49.769390792104936,45.83853966416923
row_drop,0.2,1.0,47.50667315698786,44.525290745262254
row_drop,0.3,1.0,43.79920829679296,41.136997156935095
row_drop,0.4,1.0,40.95512760572725,37.01291294859726
row_drop,0.5,1.0,36.89832814167071,32.90422153461078
row_drop,0.6,1.0,33.23100757035619,30.687462961480254
smoothing,1.0,1.0,52.44545050007536,48.875078528040355
smoothing,3.0,0.8333333333333334,8.917542437195781,0.7896611343627558
smoothing,5.0,0.75,7.936719569988006,1.96874696465269
smoothing,7.0,0.75,7.365257293199423,3.2329546845252213
smoothing,9.0,0.75,6.746898623373371,3.3531296579604164
smoothing,11.0,0.75,6.122394490695949,3.2997652712709207
smoothing,15.0,0.75,5.042546163511149,3.2897730155749763
quantization,3.0,1.0,52.43943262585094,48.867270863606684
quantization,2.0,1.0,52.43308345419894,49.06321961551178
quantization,1.0,1.0,45.354137295301406,42.39381823428042
quantization,0.0,1.0,9.60012248579532,6.439830819928973
